SUBTIPO,ESTRATO,NIVEL_PISO,VAL_ARRIEN,AREA_M2,ALCOBAS,BANOS,GARAJES,ESTAR,ESTUDIO,ALC_SERVIC
0,4,3,620000,55,3,2,0,0,0,0
0,4,3,650000,52,3,2,0,0,0,0
0,4,2,620000,60,3,2,0,0,0,0
0,4,3,650000,72,3,2,0,0,0,0
0,4,2,900000,52,2,2,0,0,0,0
0,4,4,750000,45,2,2,0,0,0,0
0,4,4,720000,55,2,2,0,0,0,0
0,4,5,630000,55,3,1,0,0,0,0
0,4,3,650000,55,1,1,0,0,0,0
0,4,3,780000,38,1,1,0,1,0,0
0,4,2,680000,55,3,1,1,0,0,0
0,4,4,550000,32,1,1,0,0,0,0
0,4,5,550000,35,1,1,1,0,0,0
0,4,1,480000,32,1,1,0,0,0,0
0,4,4,620000,32,1,1,1,0,0,0
0,4,5,680000,30,1,1,0,0,0,0
0,4,2,650000,100,3,1,0,0,0,0
1,4,0,850000,85,2,1,0,0,0,0
0,4,1,550000,35,1,1,0,0,0,0
1,4,0,1400000,220,4,3,0,0,0,0
1,4,0,1500000,240,4,3,1,0,0,1
0,4,3,1000000,90,3,3,0,0,0,1
0,4,2,1150000,67,3,2,0,0,0,0
0,4,2,1100000,62,3,2,0,0,0,0
0,4,6,870000,40,1,1,0,0,0,0
0,4,2,1000000,85,3,2,0,0,0,0
0,4,4,750000,40,1,1,0,0,0,0
0,4,8,890000,40,1,2,1,0,0,0
0,4,8,780000,40,1,2,1,0,0,0
0,4,1,620000,31,1,1,0,0,0,0
0,4,1,1100000,72,2,2,1,0,0,0
0,4,2,950000,68,3,2,1,0,0,0
0,4,7,600000,31,1,1,0,0,0,0
0,4,1,1250000,77,2,2,0,0,0,0
0,5,3,750000,55,1,1,0,0,0,0
1,5,2,880000,70,3,2,0,0,0,0
1,5,0,1500000,280,7,2,0,0,0,0
1,5,0,1300000,170,3,2,1,0,0,0
1,5,0,650000,55,2,1,0,0,0,0
1,5,0,800000,37,1,1,1,0,0,0
0,5,2,2000000,100,3,2,1,0,0,0
0,5,4,1300000,68,2,2,0,0,0,0
0,5,2,1900000,120,3,2,1,0,0,0
1,5,0,1500000,280,7,2,0,0,0,0
1,5,2,500000,22,1,1,0,0,0,0
1,5,0,1500000,300,7,2,0,0,0,1
0,5,2,550000,22,1,1,0,0,0,0
0,4,1,980000,70,3,1,1,0,0,0
1,4,0,700000,70,2,1,0,0,0,0
1,5,0,680000,22,1,1,0,0,0,0
0,5,0,600000,24,1,1,0,0,0,0
0,5,7,1100000,58,2,2,1,0,0,0
0,5,2,580000,40,1,1,0,0,0,0
0,5,2,700000,48,1,1,0,0,0,0
0,5,2,650000,42,1,1,0,0,0,0
0,5,2,900000,65,3,1,0,0,0,0
0,5,2,700000,65,2,2,0,0,0,0
1,5,0,1500000,162,5,3,0,0,0,0
1,5,0,2600000,130,5,3,1,0,0,0
0,5,1,1100000,70,3,2,0,0,0,0
1,5,0,7000000,300,6,4,0,0,0,0
1,5,0,1800000,200,4,3,0,0,0,0
0,5,4,850000,60,2,2,0,0,0,0
0,5,0,700000,50,2,2,0,0,0,0
0,5,5,800000,50,2,2,0,0,0,0
1,5,0,1500000,90,3,2,0,0,0,0
1,5,0,970000,90,3,2,0,1,0,1
0,5,2,750000,30,1,1,1,0,0,0
0,5,3,1000000,58,2,2,1,0,0,0
0,5,3,1200000,58,2,2,1,0,0,0
0,5,4,1100000,58,2,2,1,0,0,0
0,5,2,750000,30,1,1,1,0,0,0
0,5,4,1100000,55,2,2,1,0,0,0
1,4,2,1200000,90,3,2,0,0,0,0
1,4,0,800000,45,1,1,0,0,0,0
1,4,0,800000,40,1,1,0,0,0,0
0,5,0,580000,40,1,1,0,0,0,0
0,5,3,780000,38,1,1,0,0,0,0
0,5,4,1050000,75,1,1,0,0,0,0
0,5,4,500000,35,1,1,0,0,0,0
0,5,5,700000,30,1,1,0,0,0,0
0,4,0,800000,38,1,1,0,0,0,0
0,5,0,800000,50,2,1,1,0,0,0
0,4,2,700000,35,1,1,0,0,0,0
0,4,2,850000,62,3,2,1,0,0,0
0,4,2,960000,62,3,2,0,0,0,0
0,4,1,550000,50,1,1,0,0,0,0
0,4,1,700000,50,1,1,0,0,0,0
0,5,2,1400000,96,3,2,1,0,0,0
0,4,7,900000,40,1,1,1,0,0,0
0,4,0,800000,40,2,2,0,0,0,0
0,4,6,700000,45,2,2,0,0,0,0
0,4,0,800000,60,2,2,0,0,0,0
